id,secondary_id,detail_text,max_grade,input_type,table_schema,sort_order
109,22,متابعة التنسيق مع كافة الدوائر داخل المنطقة الأمنية وانفتاحها.,5.00,multiple,null,0
319,34,متابعة تنفيذ اوامر القبض ضمن قاطع المسؤولية.,1.60,multiple,null,7
317,34,التنسيق الامني مع الجهات الاخرى.,1.60,multiple,null,8
320,34,متابعة شعبة شؤون المخدرات والمؤثرات العقلية ضمن المنفذ (بري جوي بحري في حالة وجود منفذ حدودي).,1.60,multiple,null,9
322,34,التقييم.,1.54,single,,11
742,34,اداره المعلومات,22.00,single,null,37
110,22,متابعة المواقف اليومية والشهرية (الاشخاص، الاسلحة، الاعتدة، الآليات، الاحصاء الجنائي).,5.00,multi,,1
122,25,فاعلية منظومة الاتصالات السلكية واللاسلكية وجودة الإرسال والاستقبال وسرعة الاستجابة.,4.00,multi,,2
124,25,التزام المنتسبين بقواعد وأصول المخابرة وحفظ سرية المعلومات والاتصالات الرسمية.,3.00,multi,,4
125,25,تفعيل غرفة سيطرة الاتصالات المركزية لمتابعة نداءات الطوارئ والاستجابة السريعة (911).,3.00,multi,,5
130,26,ملاءمة المناهج التدريسية وتضمين مفاهيم حقوق الإنسان وتطوير القيادة والانضباط.,4.00,multi,,3
131,26,مستوى استجابة المنتسبين للدورات التدريبية ومدى انعكاسها على الأداء الميداني الفعلي.,3.00,multi,,4
133,26,تصفير الأسلحة وتهيئتها للرمي وتأمين الأعتدة وتوثيق محاضر اللجان المشرفة.,3.00,multi,,6
138,27,إجراءات التدقيق الأمني لأمناء المشاجب والمستودعات وتنظيم الكفالات القانونية لهم.,4.00,multi,,4
262,32,مدى التنسيق مع القواطع المجاورة.,2.90,multiple,null,17
144,28,متابعة الانضباط والسلوك الوظيفي للمنتسبين وحالات الغياب والتقصير الإداري والقانوني.,3.00,multi,,5
260,32,فعالية نظام المناوبة (نظام البديل) وتغطية الخدمة.,2.90,multiple,null,4
706,33,اجراء التدقيق الأمني لأمناء المشجب ومأموري الموقف. (0 د),10.00,multiple,null,19
111,22,تحديد المخاطر وتأشير الخرائط وتقارير التحليل الأمني للمطلوبين والموقوفين.,5.00,multiple,null,2
306,33,الموقف,0.41,multi,,55
112,22,إعداد وتنفيذ خطتي الدفاع المحلي ومكافحة الحرائق والممارسات الأمنية وسجلات الحركات.,5.00,multiple,null,3
113,22,ملاءمة أداء معاون العمليات كبديل لمدير المنطقة الأمنية.,5.00,single,null,4
115,23,متابعة الأتمتة والربط الشبكي وصيانة الأجهزة الخاصة به وتوفرها.,7.50,multiple,null,1
117,24,متابعة البنى التحتية وإعداد خطط الاحتياجات وتوفر إضابير سد النقص واستملاك الأراضي.,5.00,multiple,null,1
119,24,متابعة توزيع الموارد البشرية وتحديد المنتسبين حسب فئات الأعمار والعجز الطبي ونقص العنصر النسوي.,5.00,multiple,null,3
120,25,مدى توفر محطات الاتصال الثابتة والمتحركة بشكل فاعل بما يضمن تغطية جغرافية كاملة لقاطع المسؤولية.,4.00,multiple,null,0
121,25,كفاءة شبكة الاتصالات والترددات المستخدمة ومدى ملاءمتها لظروف الطوارئ والعمل الميداني.,4.00,multiple,null,1
123,25,مستوى تأمين الاتصال الداخلي والخارجي والتنسيق المشترك مع التشكيلات الساندة والمفارز.,4.00,multiple,null,3
126,25,توفر سجلات المخابرة وغرفة شحن النضائد وكفاءة تدريب كوادر الاتصالات.,3.00,multiple,null,6
128,26,توفر ساحات التدريب النموذجية وقاعات التدريب النظري ووسائل الإيضاح والدلالة.,4.00,multiple,null,1
127,26,تطبيق الخطة التدريبية السنوية والالتزام بمناهج التدريب اليومي والليلي وأيام الضباط.,4.00,multiple,null,0
129,26,كفاءة وتوفر المعلمين والمدربين المتخصصين الحاصلين على شهادة إعداد المعلمين (T3).,4.00,multiple,null,2
132,26,توفر ميادين الرمي الحقيقية والإلكترونية وقواعد التدريب العملي لمهارات إطلاق النار.,3.00,multiple,null,5
134,27,كفاءة وصلاحية وجاهزية الآليات وعجلات الحركة والدوريات في قاطع المسؤولية.,6.00,multiple,null,0
135,27,جاهزية المشجب وخزن الأسلحة والأعتدة وتأمينها وتوزيعها بشكل منظم وآمن.,6.00,multiple,null,1
136,27,تنظيم السجلات والوثائق ومستندات الذمة وإجراءات الاستلام والتسليم للأسلحة والآليات.,5.00,multiple,null,2
